传导路径,系数类型,系数值,95%CI下限,95%CI上限,R²,p值,P7文档值,验证结论,条件/备注,数据周期
DXY→USD/CNY,标准化系数,0.207,0.084,0.331,0.043,0.001,0.3-0.5%,低于预期,央行中间价管理+资本管制,2006-2026
DXY→USD/CNY,滞后3月,0.22,0.1,0.34,0.05,0.001,-,略有滞后效应,同上,2006-2026
DXY→USD/JPY,标准化系数,0.761,0.679,0.843,0.579,0.0,0.8-1.2%,验证接近,BOJ收益率控制,2006-2026
DXY→USD/EUR,标准化系数,-0.91,-0.963,-0.858,0.828,0.0,高传导(0.8),验证通过,欧元区紧密联动,1999-2026
FFR→USD/CNY,标准化系数,-0.617,-0.683,-0.551,0.381,0.0,间接影响,确认负相关,加息→人民币贬值,1981-2026
FFR→USD/CNY,滞后3月,-0.629,-0.694,-0.563,0.395,0.0,-,滞后效应更强,同上,1981-2026
10Y UST→USD/CNY,标准化系数,-0.689,-0.75,-0.627,0.474,0.0,0.30,传导明显,美债收益率↑→人民币贬值,1981-2026
10Y UST→USD/CNY,滞后6月,-0.693,-0.753,-0.632,0.48,0.0,-,滞后稳定,同上,1981-2026
